longitude,latitude,B2,B3,B4,B8,B11,B12,NDVI,VV,VH,VV_minus_VH,agbd
-59.636119898611135,-3.4557066085972843,440,611,358,3601,1867,746,0.8191462755203247,-7.0365409164988435,-13.748690894487014,6.712149977988171,81.480667
-60.17802859375623,-3.208669905464416,369,631,414,3190,1767,844,0.7702552676200867,-8.899467240823942,-14.92775994501425,6.028292704190308,87.128471
-60.10751084395285,-2.534259705911685,245.5,370.5,220.5,2340.5,1185,485.5,0.8278016448020935,-13.84327948430289,-18.62701899457861,4.783739510275719,106.132393
-59.69698075911023,-2.9131241769890934,352,517,305,2878,1559,676,0.8083568811416626,-9.815138698163668,-15.18007846281125,5.364939764647582,210.395493
-59.76929513948185,-2.728071228460472,398,608,354,3621,1814,768,0.8218867778778076,-9.608789762413064,-16.166586242011626,6.5577964795985615,198.561142
-60.901846133935535,-2.714371920377649,278,465,260,2814,1542,651,0.8308392763137817,-7.851089047811084,-12.491175381607295,4.640086333796211,55.217731
-60.73453491226827,-3.6414332935889955,271,411,230,2737,1329,550.5,0.8449612259864807,-7.447574632533092,-14.753055083879097,7.305480451346005,154.913513
-59.45376189593487,-2.906162233537167,306,530,332,2916,1609,692,0.7955664992332458,-9.774413506836563,-16.327559991571754,6.553146484735191,300.49407958984375
-60.191952480660085,-2.8942595560225834,265,405,276,2110,1308,595,0.768650472164154,-9.091596225480844,-15.887431039934679,6.795834814453835,201.112854
-60.69321240919878,-3.030354321566691,278,430,269,2743,1375,559,0.821381151676178,-8.389030495072324,-15.131763805609973,6.742733310537648,138.240982
-60.13311282955026,-2.8399114813333526,263.5,424.5,261,2497,1402.5,569,0.8107324242591858,-8.971385064769686,-14.111663435036544,5.1402783702668575,256.074982
-60.7008480891138,-3.6277339855061728,268,469,233,3164,1511,637,0.8628201484680176,-8.79243583999097,-15.089058666088214,6.296622826097243,116.516739
-60.17757943611417,-2.3197869318281494,267,435,240,2725,1341,527,0.8381112813949585,-8.711297004781487,-14.743533159844509,6.032236155063021,53.1121826171875
-59.502046342456296,-2.722681336755755,353,548.5,302,3483,1822.5,728.5,0.8404227495193481,-6.789150181455753,-13.486763206432395,6.697613024976642,0
-59.95794134914695,-2.805326342894751,586,782,837,2702,3198,1917,0.5269850492477417,-9.304543568793118,-14.873143341002068,5.56859977220895,87.801971
-60.15310034462192,-3.7501294429674576,287.5,505.5,270,3022,1548.5,626.5,0.8359659910202026,-7.935139541111135,-12.109177023739889,4.174037482628754,153.538666
-60.282457745535126,-2.3828935805375457,252,429,267.5,2641.5,1366,546.5,0.8160880208015442,-8.270815661067655,-14.589662412050417,6.318846750982763,265.610291
-60.02239547078253,-3.1871103386455473,370,556,357,2814,1555.5,774.5,0.7748344540596008,-8.387993194022915,-14.788353167051103,6.400359973028188,47.084739685058594
-59.830155999980946,-2.61915050026098,376,533,327,2980,1607,668,0.8022376894950867,-8.507487983744863,-13.991519577622551,5.484031593877688,234.043152
-59.82701189648653,-3.3263492076840735,473.5,833,461.5,3869.5,2068.5,1022.5,0.7868852615356445,-7.850445210659873,-13.281785224943954,5.431340014284081,30.570409774780273
-59.71135380365614,-2.4956321486945456,369,548,324,3085,1738,742,0.8099149465560913,-7.672606961960509,-15.483320000559033,7.810713038598524,123.272293
-60.06910786555674,-2.998239550159418,408,611,421,2663,1818,907,0.7269779443740845,-8.369663223511079,-14.710320100877842,6.340656877366763,0
-60.46009959296976,-4.021420658771553,231,403.5,224.5,2794.5,1292,491.5,0.8512752652168274,-9.046013775065006,-13.258486717416893,4.212472942351887,178.844543
-60.06416713149408,-3.0290068486405115,295,469,267,3036.5,1518,616,0.8383532762527466,-8.261287168119622,-13.137688926488753,4.876401758369131,90.321044921875
-60.677267312905656,-3.869605375755354,279.5,429,259.5,2766,1452,580,0.8284581303596497,-8.237092749709223,-13.968554573458347,5.7314618237491235,326.041443
-60.41181514644834,-3.261445928406438,297,513,291,2460,1288,587,0.7884405851364136,-7.6494545735812665,-12.936272480354488,5.286817906773221,0.6353600025177002
-59.31317555397016,-3.3205101583372962,369.5,558.5,316,3462.5,1789.5,770.5,0.8327378630638123,-8.62691509422023,-16.21900688982806,7.592091795607828,20.141677856445312
-60.05810350332628,-4.050166747863377,354,521,326,2836,1599,677,0.7938013672828674,-7.468018992585341,-13.757446017189753,6.289427024604413,244.799011
-60.491316049092916,-2.545713225784209,289,403,243,2428,1335,559,0.8180456757545471,-8.218051125602575,-14.844072518933709,6.6260213933311345,160.025284
-60.8737737813068,-3.4460497192929997,357.5,564.5,374.5,2850.5,1476.5,675,0.767751932144165,-6.793357867184959,-12.773200336844486,5.979842469659527,4.065884113311768
-60.00847158387867,-2.5333613906275656,377.5,587,327,3456.5,1709,675.5,0.827144205570221,-7.159018203799178,-14.559417073732735,7.400398869933557,72.202766
-59.58918292501588,-2.4978779369048447,416,627.5,363,3417.5,1833,790,0.8079618811607361,-6.897002088122361,-13.877316309996255,6.980314221873894,145.148956
-60.4273110850994,-2.7359314871965177,349.5,495,394.5,2160.5,1703.5,810,0.6911937594413757,-8.416854362625024,-13.871288143822923,5.454433781197899,20.770706176757812
-59.766151035987434,-2.7485079011741913,361,563,335.5,3165.5,1697,706,0.8083404898643494,-7.796073930113515,-12.638111205123252,4.842037275009737,118.65435028076172
-60.86007447322398,-2.952874628311382,304,475,303,2579,1347,560,0.7897293567657471,-9.141362948347636,-14.206908370960553,5.065545422612917,49.28932571411133
-60.33388629555097,-2.9128995981680634,272,404,248,2680,1374,540,0.8306010961532593,-8.176188161125404,-12.075135258036031,3.898947096910627,139.063431
-60.346911867170704,-2.7197618120823663,243,413,241,2677,1382,560,0.8348183631896973,-8.362439128514529,-14.141142534246502,5.778703405731973,75.639397
-60.15714276340045,-3.995594094353117,285,491,293,2888.5,1592,639,0.8158101439476013,-6.816896895502973,-14.052907181302901,7.236010285799928,145.90032958984375
-60.43157808269897,-2.571988947844705,299,482.5,271.5,2665.5,1354,575.5,0.8151174783706665,-7.977809350521148,-13.980343506225745,6.0025341557045975,144.688507
-60.83851490640511,-3.06988019406795,478,732,621,2822,2637,1536,0.6392681002616882,-7.385111595995221,-14.715085494141277,7.329973898146056,8.689706802368164
-59.515521071718084,-3.606623576329364,418,671,404,3409,2157,952,0.7880933880805969,-7.890125421777525,-13.708433498311713,5.818308076534188,0
-60.08415464656574,-2.493610939305277,264,446,271,2869,1401,568,0.8273885250091553,-9.117277851209852,-15.183123471140663,6.06584561993081,203.273636
-59.39155356250959,-3.533410880673623,417.5,614,454.5,3509.5,1861.5,753,0.770686149597168,-7.410391536972428,-13.480133881290211,6.069742344317783,0
